initialize start
initialize done
[GIN] 2017/10/17 - 17:12:37 | 200 |     159.976µs |     127.1.4.127 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     243.144µs |    127.1.10.119 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |      146.68µs |     127.1.14.51 | GET      /mypage
[GIN] 2017/10/17 - 17:12:37 | 200 |     170.208µs |     127.1.4.242 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     234.391µs |     127.1.3.246 | GET      /mypage
[GIN] 2017/10/17 - 17:12:37 | 200 |     253.343µs |       127.1.3.4 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     244.625µs |     127.1.9.225 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |     133.625µs |    127.1.12.192 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     115.593µs |      127.1.8.28 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     241.118µs |    127.1.14.174 | GET      /mypage
[GIN] 2017/10/17 - 17:12:37 | 302 |     104.849µs |      127.1.0.87 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     117.124µs |      127.1.9.70 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     287.361µs |      127.1.9.70 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     350.145µs |      127.1.0.87 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     246.404µs |    127.1.12.192 | GET      /mypage
[GIN] 2017/10/17 - 17:12:37 | 200 |    1.010687ms |      127.1.8.28 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |       135.6µs |     127.1.11.34 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     115.138µs |    127.1.11.249 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     114.938µs |       127.1.7.6 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     761.212µs |     127.1.11.34 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |      136.34µs |     127.1.1.247 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     111.079µs |     127.1.8.244 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |      364.18µs |       127.1.7.6 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     260.063µs |    127.1.11.249 | GET      /mypage
[GIN] 2017/10/17 - 17:12:37 | 302 |     147.328µs |      127.1.13.9 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     288.741µs |     127.1.1.247 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |     130.195µs |      127.1.1.60 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     241.212µs |     127.1.8.244 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |      220.71µs |      127.1.13.9 | GET      /mypage
[GIN] 2017/10/17 - 17:12:37 | 302 |      183.35µs |      127.1.4.15 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     127.594µs |    127.1.15.105 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     108.646µs |     127.1.6.112 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     295.912µs |      127.1.1.60 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |     129.847µs |      127.1.5.16 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |      132.51µs |     127.1.0.241 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     249.222µs |     127.1.6.112 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     232.386µs |    127.1.15.105 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     268.556µs |      127.1.4.15 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |      96.996µs |    127.1.14.114 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     145.038µs |     127.1.3.228 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     112.859µs |      127.1.3.10 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     145.689µs |     127.1.10.22 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     354.991µs |     127.1.0.241 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     218.483µs |    127.1.14.114 | GET      /mypage
[GIN] 2017/10/17 - 17:12:37 | 302 |     123.159µs |      127.1.2.47 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     226.874µs |      127.1.3.10 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |     117.418µs |     127.1.9.225 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     386.069µs |      127.1.5.16 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     215.709µs |     127.1.3.228 | GET      /mypage
[GIN] 2017/10/17 - 17:12:37 | 302 |     228.886µs |     127.1.4.240 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     292.373µs |     127.1.10.22 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |     106.416µs |      127.1.8.86 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     108.405µs |    127.1.14.242 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     109.122µs |    127.1.13.198 | POST     /login
